Name	Artist	Composer	Album	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	Skip Count	Last Skipped	My Rating	Location
1 Thing	Amerie		Touch			238																			
21 Guns	Green Day		21st Century Breakdown (Deluxe Edition)			322																			
24/7	Kevon Edmonds		24/7			274																			
360	Charli xcx		BRAT			133																			
A Thousand Miles	Vanessa Carlton		Be Not Nobody			237																			
Always	Daniel Caesar		NEVER ENOUGH (Bonus Version)			225																			
American Boy (feat. Kanye West)	Estelle		American Boy (feat. Kanye West) - Single			284																			
Angel Baby	Troye Sivan		Angel Baby - Single			220																			
Anxiety	Doechii		Anxiety - Single			249																			
Baby By Me (feat. Ne-Yo)	50 Cent		Baby By Me			216																			
Back to December	Taylor Swift		Speak Now			293																			
bad	wave to earth		0.1 flaws and all.			263																			
Bad Dreams	Teddy Swims		I've Tried Everything But Therapy (Part 2)			184																			
Bad Habit	Steve Lacy		Gemini Rights			232																			
Bad Habits	Ed Sheeran		Bad Habits - Single			230																			
Be Her	Ella Langley		Dandelion			217																			
Beautiful People	David Guetta & Sia		Beautiful People - Single			187																			
Beautiful Things	Benson Boone		Beautiful Things - Single			180																			
Bedroom Posters	Yellowcard		Bedroom Posters (feat. Good Charlotte) - Single			218																			
Been Like This	Meghan Trainor & T-Pain		Timeless			145																			
Beggin'	Måneskin		Chosen			211																			
Best Part (feat. H.E.R.)	Daniel Caesar		Freudian			209																			
Big (feat. Gunna)	Rita Ora, David Guetta & Imanbek		Bang - EP			156																			
Billionaire (feat. Bruno Mars)	Travie McCoy		Billionaire (feat. Bruno Mars) - Deluxe Single			211																			
BIRDS OF A FEATHER	Billie Eilish		HIT ME HARD AND SOFT			210																			
bittersweet	Madison Beer		bittersweet - Single			202																			
Blank Space	Taylor Swift		1989 (Deluxe Edition)			231																			
Blinding Lights	The Weeknd		Blinding Lights - Single			201																			
Blink	Corbyn Besson & TZUYU		Blink - Single			162																			
BOOMPALA	LE SSERAFIM		'PUREFLOW', Pt. 1			176																			
BOSS	NCT U		NCT 2018 EMPATHY			210																			
Boys	Britney Spears		Britney (Deluxe Version)			206																			
Bye Bye	Mariah Carey		E=MC2 (Deluxe Version)			266																			
California Gurls (feat. Snoop Dogg)	Katy Perry		Teenage Dream: The Complete Confection			234																			
Call It Off (feat. JAEHYUN)	Emotional Oranges		Call It Off (feat. JAEHYUN) - Single			216																			
Call Me When You Break Up	Selena Gomez, benny blanco & Gracie Abrams		I Said I Love You First			126																			
Can We Talk	Tevin Campbell		I'm Ready			284																			
Circles	Post Malone		Hollywood's Bleeding			215																			
Close To Me	Ellie Goulding, Diplo & Swae Lee		Brightest Blue			182																			
Close To You	Gracie Abrams		The Secret of Us			225																			
Come Away With Me	Norah Jones		Come Away With Me (Super Deluxe Edition)			198																			
Crazy	Javier		Javier			293																			
Creepin'	Metro Boomin, The Weeknd & 21 Savage		HEROES & VILLAINS (Villains Version)			221																			
Cruel Summer	Taylor Swift		Lover			178																			
Cupid	FIFTY FIFTY		The Beginning: Cupid - Single			174																			
Dancing In The Flames	The Weeknd		Dancing In The Flames - Single			220																			
Dead and Gone (feat. Justin Timberlake)	T.I.		Paper Trail (Deluxe Version)			299																			
Die With A Smile	Lady Gaga & Bruno Mars		Die With A Smile - Single			251																			
DNA	BTS		Love Yourself 結 'Answer'			223																			
Do What You Gotta (feat. Sunset Rollercoaster)	Prep		One Day In The Sun - EP			188																			
Don't Say You Love Me	M2M		Shades of Purple			225																			
double take	Dhruv		double take - Single			171																			
EASY	LE SSERAFIM		EASY - EP			164																			
Easy On Me	Adele		30			224																			
Espresso	Sabrina Carpenter		Espresso - Single			175																			
Everybody's Changing	Keane		Hopes and Fears			215																			
Everything You Do	Christian Bautista		Christian Bautista			233																			
Feather	Sabrina Carpenter		emails i can't send fwd:			185																			
feelslikeimfallinginlive	Coldplay		Moon Music (Full Moon Edition)			276																			
Finesse (Remix) [feat. Cardi B]	Bruno Mars		Finesse (Remix) [feat. Cardi B] - Single			217																			
Flowers	Miley Cyrus		Endless Summer Vacation			200																			
From The Start	Laufey		From The Start - Single			169																			
Gabriela	KATSEYE		BEAUTIFUL CHAOS - EP			197																			
GIRLS	The Kid LAROI		GIRLS - Single			152																			
Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)	Pitbull		Planet Pit			252																			
