=== AUDIT SCAN REPORT ===
Total Files Scanned: 202

50 Cent - Baby By Me (feat. Ne-Yo).m4a | Baby By Me (feat. Ne-Yo) - 50 Cent | Matched: [Baby By Me (Explicit Version)] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Adele - Easy On Me.m4a | Easy On Me - Adele | Matched: [30] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Adele - Rolling In the Deep.m4a | Rolling In the Deep - Adele | Matched: [21] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Amerie - 1 Thing.m4a | 1 Thing - Amerie | Matched: [Touch] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Anderson .Paak - Make It Better (feat. Smokey Robinson).m4a | Make It Better (feat. Smokey Robinson) - Anderson .Paak | Matched: [Ventura] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Ariana Grande & The Weeknd - Love Me Harder.m4a | Love Me Harder - Ariana Grande & The Weeknd | Matched: [My Everything] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Ariana Grande - supernatural.m4a | supernatural - Ariana Grande | Matched: [eternal sunshine] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Ariana Grande - we can't be friends (wait for your love).m4a | we can't be friends (wait for your love) - Ariana Grande | Matched: [eternal sunshine] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Artemas - i like the way you kiss me.m4a | i like the way you kiss me - Artemas | Matched: [yustyna] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Avril Lavigne - Keep Holding On.m4a | Keep Holding On - Avril Lavigne | Matched: [The Best Damn Thing (Expanded Edition)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
B.o.B - Nothin' On You (feat. Bruno Mars).m4a | Nothin' On You (feat. Bruno Mars) - B.o.B | Matched: [B.o.B Presents: The Adventures of Bobby Ray] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
BTS - DNA.m4a | DNA - BTS | Matched: [Love Yourself 結 'Answer'] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Bad Meets Evil - Lighters (feat. Bruno Mars).m4a | Lighters (feat. Bruno Mars) - Bad Meets Evil | Matched: [Hell: The Sequel (Deluxe)] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Becky G - Shower.m4a | Shower - Becky G | Matched: [Shower - Single] | Score: 210 | Cat: Single | Quality: iTunes High-Res (3000px) | Flag: OK
Benson Boone - Beautiful Things (Acoustic).m4a | Beautiful Things (Acoustic) - Benson Boone | Matched: [Fireworks & Rollerblades] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Benson Boone - Mystical Magical.m4a | Mystical Magical - Benson Boone | Matched: [American Heart] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Billie Eilish - BIRDS OF A FEATHER.m4a | BIRDS OF A FEATHER - Billie Eilish | Matched: [HIT ME HARD AND SOFT] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Black Eyed Peas - Hey Mama.m4a | Hey Mama - Black Eyed Peas | Matched: [Elephunk (Expanded Edition)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Bow Wow - Like You (feat. Ciara).m4a | Like You - Bow Wow | Matched: [Wanted] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
